Week,Park: (Worldwide),Google Maps: (Worldwide),Camping: (Worldwide),Lake: (Worldwide),Adventure: (Worldwide),Ticket: (Worldwide),Music festival: (Worldwide),Airbnb: (Worldwide),Bar: (Worldwide),Festival: (Worldwide),Amusement park: (Worldwide),Car rental: (Worldwide),Cycling: (Worldwide)
3/15/2020,52,53,15,24,5,56,1,7,42,16,8,57,22
3/22/2020,45,47,14,24,5,38,1,5,25,15,7,44,25
3/29/2020,40,45,13,25,6,31,1,5,23,15,7,36,27
4/5/2020,41,45,15,27,6,28,1,5,23,15,7,38,32
4/12/2020,39,47,17,28,6,26,1,5,24,16,8,38,35
4/19/2020,45,53,18,30,6,26,1,6,28,14,8,38,36
4/26/2020,52,53,22,34,6,26,1,6,30,14,9,41,37
5/3/2020,55,58,26,37,6,30,1,7,30,13,10,47,40
5/10/2020,59,60,29,42,6,34,1,8,34,13,9,51,40
5/17/2020,67,64,35,51,6,38,1,10,38,14,12,59,43
5/24/2020,81,68,41,59,6,38,1,12,41,14,12,64,45
5/31/2020,73,67,43,55,6,45,1,13,42,14,13,67,44
6/7/2020,77,73,46,59,6,47,1,15,46,14,15,74,42
6/14/2020,79,79,48,61,6,47,1,16,47,16,15,79,44
6/21/2020,80,78,51,67,6,55,1,17,51,27,16,82,42
6/28/2020,82,79,55,72,6,59,1,18,51,17,18,83,43
7/5/2020,79,81,58,78,6,58,1,19,51,16,19,83,41
7/12/2020,84,82,57,78,6,56,1,18,51,16,20,86,41
7/19/2020,85,82,57,76,6,57,1,19,54,18,22,90,42
7/26/2020,88,80,58,82,6,57,1,18,53,18,22,84,46
8/2/2020,86,82,57,78,6,59,1,18,51,18,19,87,51
8/9/2020,88,78,54,77,6,56,1,17,53,17,19,86,48
8/16/2020,79,80,46,71,6,56,1,16,53,19,18,78,47
8/23/2020,75,79,38,58,6,54,1,14,52,18,16,77,45
8/30/2020,70,78,35,51,6,55,1,13,49,20,13,75,46
9/6/2020,66,78,32,51,6,56,1,13,51,19,13,73,47
9/13/2020,63,76,28,44,6,54,1,12,50,19,14,71,45
9/20/2020,64,74,25,37,6,55,1,11,50,19,13,68,46
9/27/2020,59,73,22,35,6,57,1,11,47,25,12,72,43
10/4/2020,59,72,21,34,5,55,1,10,48,18,12,71,38
10/11/2020,58,66,20,33,5,55,1,10,48,18,12,71,36
10/18/2020,57,65,18,30,6,53,1,10,45,18,12,66,38
10/25/2020,51,64,17,28,5,52,1,8,43,18,11,60,34
11/1/2020,44,57,14,23,5,46,<1,7,37,14,8,55,30
11/8/2020,49,60,16,26,5,51,<1,8,40,16,9,65,32
11/15/2020,47,60,15,25,5,49,1,8,38,14,9,62,29
11/22/2020,46,58,15,24,5,49,1,8,37,13,9,60,31
11/29/2020,42,59,15,25,5,50,<1,9,38,14,8,61,29
12/6/2020,43,57,15,24,6,51,1,11,39,14,8,62,29
12/13/2020,41,58,15,24,5,52,<1,9,38,14,8,63,27
12/20/2020,44,50,15,25,5,54,<1,8,36,14,8,67,24
12/27/2020,58,51,19,31,6,61,1,11,43,13,10,63,30
1/3/2021,48,56,18,28,5,57,1,11,38,13,9,59,27
1/10/2021,45,60,18,28,5,53,<1,10,37,16,8,56,27
1/17/2021,45,62,18,30,5,52,1,10,37,13,8,59,28
1/24/2021,44,61,18,29,6,49,1,10,37,13,9,57,26
1/31/2021,44,61,19,29,5,52,1,10,36,14,9,57,28
2/7/2021,46,60,18,29,5,53,1,10,39,15,9,61,27
2/14/2021,49,62,20,33,5,55,1,12,42,16,10,63,29
2/21/2021,57,65,23,34,6,59,1,12,41,31,11,66,33
2/28/2021,56,67,23,31,6,58,1,12,40,22,12,67,33
3/7/2021,57,63,24,31,6,61,1,12,43,20,12,74,33
3/14/2021,58,63,24,31,6,61,1,12,42,17,12,78,33
3/21/2021,64,66,26,32,6,63,1,11,41,18,13,77,34
3/28/2021,74,64,27,35,6,65,1,10,44,20,14,79,37
4/4/2021,67,63,26,34,6,61,1,11,42,18,13,78,37
4/11/2021,66,68,28,33,6,63,1,12,44,19,13,75,38
4/18/2021,68,65,30,34,6,58,1,12,46,18,13,77,39
4/25/2021,67,67,33,35,5,59,1,12,45,18,14,75,36
5/2/2021,71,68,36,37,5,58,1,14,48,19,15,79,36
5/9/2021,68,67,37,40,5,63,1,14,49,20,16,86,39
5/16/2021,70,70,40,42,6,74,1,15,52,21,19,87,38
5/23/2021,77,70,41,49,6,74,1,15,54,22,19,88,40
5/30/2021,91,71,45,54,6,82,2,16,55,23,21,88,42
6/6/2021,86,74,45,53,6,80,1,16,57,27,19,97,39
6/13/2021,84,74,44,59,6,84,1,17,56,34,20,98,38
6/20/2021,82,76,44,56,6,92,1,17,60,26,21,93,36
6/27/2021,85,75,46,61,6,90,1,18,60,27,23,94,42
7/4/2021,90,80,50,62,6,97,1,18,63,30,26,95,41
7/11/2021,90,79,49,62,6,94,1,18,62,30,26,99,41
7/18/2021,100,76,55,66,6,100,2,17,63,32,30,100,51
7/25/2021,90,75,49,59,6,90,2,16,58,31,28,94,46
8/1/2021,89,74,49,56,6,93,2,17,60,34,27,93,45
8/8/2021,89,73,49,63,6,95,2,16,63,34,28,90,39
8/15/2021,81,73,42,58,6,91,1,15,61,36,25,86,38
8/22/2021,80,73,36,48,6,92,2,14,59,38,22,82,37
8/29/2021,68,75,32,46,5,93,2,13,54,37,18,81,35
9/5/2021,73,76,30,43,5,95,2,13,58,38,17,80,34
9/12/2021,65,75,27,37,5,93,2,12,56,37,15,80,33
9/19/2021,70,73,27,35,5,98,1,12,56,41,16,81,35
9/26/2021,63,70,24,32,5,97,1,12,56,32,15,77,35
10/3/2021,52,55,19,26,4,79,1,10,49,26,13,63,26
10/10/2021,49,51,17,24,4,77,1,9,49,24,12,59,22
10/17/2021,45,50,15,23,4,77,1,9,46,21,12,61,20
10/24/2021,45,48,15,23,4,77,1,8,45,19,12,56,21
10/31/2021,46,47,15,21,4,76,1,8,47,23,11,55,19
11/7/2021,44,48,14,20,4,76,1,9,46,19,11,57,19
11/14/2021,41,50,13,20,4,75,1,8,44,17,10,55,19
11/21/2021,40,47,12,19,4,78,1,8,44,15,10,52,18
11/28/2021,37,48,12,18,4,79,1,8,43,16,9,53,18
12/5/2021,37,49,12,19,4,78,1,8,44,15,9,54,18
12/12/2021,36,49,12,19,4,82,1,8,44,14,9,57,16
12/19/2021,37,42,12,19,4,75,1,7,41,14,9,52,16
12/26/2021,48,40,16,24,5,79,1,10,50,13,12,52,17
1/2/2022,42,44,16,22,5,69,1,10,40,14,11,53,19
1/9/2022,38,49,16,22,5,63,1,10,40,17,9,50,18
1/16/2022,41,46,16,22,4,61,1,10,42,20,9,50,17
1/23/2022,39,49,16,24,4,67,1,11,39,17,9,51,19
